label,noise_type,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13
15C_15C,C,-720.91406,-18.519094,13.240698,19.468142,-2.749439,6.890654,9.285849,7.3251624,-1.9213374,15.158289,2.863168,-2.863941,14.655567
15C_15C,C,-721.0466,-18.8077,13.018318,18.591473,-3.4695473,5.9699507,7.8199697,5.644678,-4.187132,12.874412,1.6381217,-4.118746,13.862696
15C_15C,C,-720.6489,-18.507305,13.309042,18.555685,-2.9389892,7.3721247,8.468993,6.194857,-3.7292376,13.218562,2.460996,-3.7042172,13.953855
15C_15C,C,-719.07715,-17.38432,13.507598,18.814901,-3.9067712,5.239185,6.7913384,6.11892,-3.010699,13.835073,2.261991,-4.139147,13.817651
15C_15C,C,-722.3507,-18.190386,15.2488575,17.879297,-3.2284143,8.401775,8.949885,7.113437,-2.6480784,12.8994465,2.3053064,-3.2415009,12.904713
15C_15C,C,-722.315,-18.558384,14.434139,18.337646,-1.9627533,7.949442,7.8055496,6.433769,-3.2840025,12.736705,3.307634,-2.9348323,12.835934
15C_15C,C,-722.315,-19.356947,14.176097,18.258358,-3.3977501,7.1619534,7.285418,6.869571,-2.7004812,13.525735,4.0195394,-2.0582964,14.142791
15C_15C,C,-729.27734,-5.028419,25.73296,10.661931,3.550362,16.893429,1.753598,13.158418,4.2522445,5.1028676,6.9682803,1.9800266,5.794311
15C_15C,C,-722.5818,-18.51646,15.202589,18.357601,-2.6776838,8.243886,8.718441,7.6652293,-1.8369126,12.797384,2.9221284,-3.2718132,12.053073
15C_15C,C,-722.1954,-17.671003,15.843516,18.516033,-2.3243577,8.202706,8.054965,6.7282324,-2.7918754,13.373001,3.321542,-3.0743127,13.63535
15C_15C,C,-722.9265,-18.918531,13.70046,15.829416,-4.529431,7.7842965,9.040823,9.073805,-0.37779054,13.742076,2.5501487,-3.6841676,12.605961
15C_15C,C,-729.9937,-7.1793375,25.092945,9.953054,3.0517793,16.706558,1.5862342,13.218965,4.7203894,5.8977666,7.3590255,3.413232,7.2622447
15C_15C,C,-729.36945,-4.120711,26.460688,10.805372,2.9564497,16.918388,1.3260713,11.926956,5.3737116,7.7416363,9.7712,3.8030584,5.498736
15C_15C,C,-720.9042,-18.009918,13.869666,17.029581,-3.3250062,7.475629,7.8446937,7.5849524,-2.0292208,12.96595,1.9230975,-3.4716887,13.473977
15C_15C,C,-722.77844,-18.919147,14.723621,17.887499,-2.668763,7.5172515,6.920553,6.6242657,-2.2313359,13.243046,2.9616423,-3.8235967,11.928533
